Id,SentimientoGeneral,AspectosPositivos,AspectosNegativos,Dificultad,RendimientoTecnico,BugsProblemas,Jugabilidad,HistoriaContenido,PrecioValor,InsightPrincipal,RecomendadoOriginal,RecomendadoBinario
7938,Negativo,"['Escritura impresionante', 'Secuencias de historia interesantes']","['Promesas incumplidas', 'Mundo poco interactivo', 'IA de vehículos deficiente', 'NPCs sin vida', 'Jugabilidad promedio', 'Dificultades con la optimización']",No Mencionado,"Se espera mejora en optimización y rendimiento, pero actualmente es deficiente.","['Problemas de rendimiento', 'Bugs técnicos']",Mecánicas de juego son promedio y no innovadoras.,"La historia tiene buenos momentos, pero la falta de profundidad en el rol afecta la experiencia.",El precio no justifica la calidad del contenido ofrecido.,El juego está marcado por promesas incumplidas y una experiencia que no cumple con las expectativas.,No recomendado,0
2055,Negativo,"['Escritura impresionante', 'Secuencias de historia interesantes']","['Promesas incumplidas', 'Mundo superficial', 'IA de vehículos deficiente', 'NPCs sin vida', 'Jugabilidad promedio', 'Dificultades con la optimización']",No Mencionado,"Problemas de optimización y rendimiento, bugs presentes","['Bugs técnicos', 'Problemas de rendimiento']","Mecánicas de juego promedio, combate y controles no innovadores",Historia interesante pero limitada en la jugabilidad y profundidad,Precio elevado para un producto incompleto,El juego decepciona al no cumplir con las expectativas creadas por su marketing.,No recomendado,0
6207,Negativo,"['Historia decente', 'Actuación de voz bastante buena']","['Problemas de rendimiento', 'Bugs técnicos', 'Mediocridad general del juego', 'Falta de profundidad en la historia', 'Mecánicas a medio terminar', 'Falta de personalización y decisiones significativas']",No Mencionado,Problemas de rendimiento y bugs técnicos,"['Errores en la página de reseñas', 'Mecánicas a medio terminar', 'Puertas bloqueadas', 'Problemas de IA y física']","Mecánicas no son terribles, pero la conducción es mediocre y el combate es básico","La historia no es mala, pero está llena de diálogos y no ofrece una experiencia de juego satisfactoria","No vale el precio completo, es un desastre anticipado",El juego no cumple con las expectativas y carece de la esencia del género cyberpunk.,No recomendado,0
3045,Negativo,"['Historia decente', 'Actuaciones de voz bastante buenas']","['Problemas de rendimiento', 'Bugs técnicos', 'Mediocridad general del juego', 'Falta de profundidad en la historia', 'Mecánicas a medio terminar', 'Falta de personalización de vehículos', 'IA y física deficientes']",No Mencionado,Problemas de rendimiento y bugs técnicos,"['Errores en la página de reseñas', 'Mecánicas a medio terminar', 'Puertas bloqueadas', 'Problemas de IA', 'Popping de texturas y modelos']","Mecánicas no son terribles, pero la conducción es mediocre y el combate es básico","La historia no es mala, pero es principalmente diálogo y carece de profundidad","No justifica el precio completo, es un desastre anticipado",El juego no cumple con las expectativas y carece de la esencia del género cyberpunk.,No recomendado,0
768,Negativo,"['Gráficos hermosos', 'Narrativa excepcional', 'Personajes bien escritos', 'Música fantástica']","['Problemas de optimización', 'Bugs y glitches', 'Mundo poco inmersivo', 'Repetitividad en la jugabilidad', 'Desconexión del personaje principal']",No Mencionado,Problemas de optimización y caídas de FPS frecuentes.,"['Bugs menores irritantes', 'Algunos bugs que requieren reiniciar el juego']","Divertida pero repetitiva, mecánicas simples.","Historia principal fenomenal, pero el personaje principal es poco memorable.","No vale el precio actual, mejor esperar una rebaja.",Un juego decepcionante que no cumple con las expectativas generadas.,No recomendado,0
18535,Mixto,"['Divertido', 'Mundo vivo', 'Múltiples finales', 'Contenido adicional en misiones secundarias']","['Problemas de gestión de inventario', 'Límites de munición no claros', 'Bugs gráficos', 'IA enemiga rota', 'Perk de desensamblaje defectuoso']",No Mencionado,"No está terminado, presenta bugs y problemas de optimización","['Bugs gráficos en escenas', 'IA enemiga que deja de responder', 'Problemas con el límite de munición', 'Gestión de inventario defectuosa']","Divertida, con exploración y misiones secundarias interesantes",Múltiples finales y decisiones que afectan la historia,Vale la pena al precio actual si se disfrutan las misiones secundarias,"El juego tiene problemas técnicos, pero ofrece una experiencia divertida y rica en contenido si se exploran las misiones secundarias.",Recomendado,1
1906,Mixto,"['Arte y diseño del mundo', 'Atención al detalle', 'Variedad de finales', 'Riqueza en la historia de las misiones']","['Problemas de optimización', 'Mecánicas de juego faltantes', 'Misiones aburridas', 'NPCs con scripting roto', 'Bugs y glitches frecuentes']",No Mencionado,"Problemas de rendimiento y optimización, especialmente con ray tracing en AMD.","['Duplicación de objetos', 'Minimapa mal diseñado', 'NPCs que no funcionan correctamente', 'Muerte aleatoria', 'Paneles de inventario lentos']",Mecánicas de juego interesantes pero con problemas de balance y scripting.,"Historia rica pero mal entregada, con exceso de texto y falta de contenido dinámico.","Vale la pena comprar y jugar, pero no cumple con su potencial.","Cyberpunk 2077 es una obra de arte con gran potencial, pero actualmente carece de muchas características que deberían estar presentes.",No recomendado,0
2563,Negativo,"['Sistema de cenizas de guerra es interesante', 'Variedad de construcciones', 'Dirección artística impresionante', 'Gran cantidad de armas y armaduras']","['Mundo abierto vacío y sin vida', 'Diseño de niveles deficiente', 'Mecánica de combate poco incentivada', 'Quests mal diseñadas y sin dirección']",No Mencionado,No mencionado,[],Mecánicas de combate poco satisfactorias y falta de incentivo para luchar,Narrativa débil y misiones poco interesantes,No mencionado,"A pesar de algunos aspectos positivos, el juego no logra enganchar debido a su diseño y mecánicas.",No recomendado,0
4554,Negativo,"['Historia aceptable', 'Modelos de personajes buenos']","['Mala optimización', 'Física de conducción terrible', 'IA tonta', 'Problemas de audio', 'Poca personalización del protagonista']",No Mencionado,"Rendimiento problemático, bugs técnicos y mala optimización","['NPCs aparecen y desaparecen', 'Objetos atascados', 'Problemas de carga del mundo', 'Desaparecen opciones de mejora de armas']","Mecánicas de juego promedio, controles y experiencia de juego insatisfactorios",Historia decente pero no suficiente para compensar los problemas,Recomendado solo con grandes descuentos debido a los problemas,"El juego tiene potencial, pero está lleno de problemas técnicos y de diseño que lo hacen difícil de recomendar.",No recomendado,0
5086,Negativo,"['Historia aceptable', 'Modelos de personajes buenos']","['Mala optimización', 'Física de conducción terrible', 'IA deficiente', 'Problemas de audio', 'Poca personalización del protagonista']",No Mencionado,Rendimiento problemático y mala optimización,"['NPCs aparecen y desaparecen', 'Objetos atascados', 'No se puede recoger botín', 'Desaparecen opciones de mejora de armas']","Mecánicas de juego promedio, con problemas en la conducción y la IA",Historia aceptable pero no sobresaliente,Recomendado solo con grandes descuentos debido a los problemas,"El juego tiene potencial, pero está lleno de problemas técnicos y de diseño que lo hacen difícil de recomendar.",No recomendado,0
4101,Negativo,"['Historia aceptable', 'Modelos de personajes buenos']","['Mala optimización', 'Física de conducción terrible', 'IA deficiente', 'Problemas de audio', 'Opciones de personalización limitadas']",No Mencionado,Rendimiento problemático y mala optimización,"['NPCs aparecen y desaparecen', 'Objetos atascados', 'No se puede recoger botín', 'Desaparecen opciones de mejora de armas']",Mecánicas de juego promedio y experiencia insatisfactoria,Contenido de historia decente pero no suficiente para compensar los problemas,Recomendado comprar con gran descuento debido a los problemas,"El juego tiene potencial, pero está lleno de problemas técnicos y de diseño que afectan la experiencia.",No recomendado,0
9023,Negativo,"['Animaciones más limpias', 'Momentos excepcionales en la facción Dawnguard']","['Combate repetitivo y poco satisfactorio', 'Decisiones sin impacto en la historia', 'Tonalidad disonante en las misiones', 'Historia superficial y poco interesante', 'Mecánicas de magia y alquimia aburridas y desbalanceadas', 'Misiones de gremios mal escritas y poco significativas']",No Mencionado,No mencionado,['No mencionado'],"Mecánicas de juego superficiales y poco satisfactorias, falta de decisiones significativas","Historia y misiones poco interesantes, falta de urgencia y conexión entre contenido secundario y principal",No mencionado,El juego es superficial y carece de la profundidad y complejidad que se espera de un RPG.,No recomendado,0
1390,Negativo,"['Atmósfera', 'Mundo abierto']","['Bugs', 'Optimización deficiente', 'IA de NPCs', 'Historia poco interesante', 'Mecánicas de juego limitadas']",No Mencionado,"Rendimiento deficiente, solo 60 FPS en configuraciones medias","['NPCs flotando', 'NPCs atravesando objetos', 'IA de enemigos defectuosa']","Mecánicas de juego limitadas y repetitivas, experiencia de juego decepcionante",Historia poco atractiva y misiones repetitivas,No mencionado,"El juego tiene un gran potencial, pero actualmente está lleno de problemas que afectan la experiencia.",No recomendado,0
5960,Mixto,"['Diseño del mapa', 'Visuales impresionantes', 'Gran cantidad de contenido', 'Diseño de sonido estelar']","['Optimización horrenda', 'Diseño de jefes poco equilibrado', 'Sistema de misiones confuso']",Equilibrado,"Horrenda optimización, difícil de mantener 60fps incluso en configuraciones bajas.","['Caídas de frames', 'Frameskipping en peleas de jefes']","Mecánicas interesantes pero mal balanceadas, combate poco satisfactorio.",Sistema de misiones confuso y poco accesible para nuevos jugadores.,No mencionado,"El juego es inmersivo y visualmente impresionante, pero tiene problemas significativos que afectan la experiencia.",No recomendado,0
4454,Negativo,"['Visuales impresionantes', 'Atención al detalle en personajes y entornos', 'Música emocionalmente impactante', 'Historia interesante']","['Mal estado en consolas de última generación', 'Optimización deficiente', 'Problemas de audio', 'NPCs poco desarrollados', 'Pocas armas y variedad de ropa']",No Mencionado,"Mal optimizado, bajo rendimiento en hardware decente","['Texturas faltantes', 'Problemas de audio', 'Triggers de misiones que no funcionan']","Jugabilidad básica, misiones secundarias repetitivas, sistema de habilidades poco impactante","Historia bien hecha pero no sobresaliente, aborda temas interesantes",No recomendable por el precio actual,"A pesar de algunos aspectos positivos, el juego no cumple con las expectativas y tiene muchos problemas.",No recomendado,0
6765,Negativo,"['Gráficos impresionantes', 'Variedad de actividades en misiones secundarias']","['Mundo poco inmersivo', 'Historia olvidable', 'IA deficiente', 'Problemas de rendimiento', 'Sistema de inventario molesto', 'Bugs constantes']",No Mencionado,"Mal optimizado, solo usa el 40% de la GPU","['Animaciones que se rompen', 'Sonidos faltantes', 'Diálogos que se superponen']","Mecánicas de combate pasables, pero con problemas de inmersión",Historia decepcionante y personajes aburridos,No recomendado por el estado técnico y la falta de contenido significativo,"El juego tiene un gran potencial visual, pero está plagado de problemas técnicos y una historia decepcionante.",No recomendado,0
149,Negativo,"['Estética visual', 'Creador de personajes', 'Sistema de progresión']","['Narrativa lineal', 'Falta de variedad en el mundo', 'Ilusión de elección', 'Repetitividad en misiones', 'Limitaciones en personalización']",No Mencionado,"Problemas técnicos frecuentes, pero no game breaking","['Texturas no cargando', 'NPCs flotando', 'Coches explotando', 'Animaciones repetitivas', 'Clipping de objetos']","Divertida pero inconsistente, mezcla de sandbox y narrativa lineal","Demasiado lineal y superficial, con personajes interesantes pero mal aprovechados","No justificado, incluso en oferta","A pesar de su atractivo visual, el juego es una decepción por su falta de contenido y problemas técnicos.",No recomendado,0
1910,Negativo,"['Combat y movimiento mejorados', 'Gráficos y diseño de jefes', 'Sistema de crafting', 'Uso del caballo en el mundo abierto']","['Pacing terrible', 'Jefes repetitivos y mal diseñados', 'Mundo vacío y repetitivo', 'Problemas de escalado en niveles']",Equilibrado,No mencionado,['No mencionado'],Mecánicas de combate complejas pero mal implementadas en algunos jefes,No mencionado,No mencionado,"A pesar de tener buenos momentos, el juego sufre de diseño de niveles pobre y jefes decepcionantes.",No recomendado,0
4608,Negativo,"['entretenimiento en la jugabilidad', 'jefes interesantes']","['fallos en la optimización', 'crashes frecuentes', 'grind excesivo para subir de nivel', 'invasiones constantes de jugadores desequilibrados', 'mecánicas de caída inconsistentes']",Equilibrado,Mal rendimiento con congelaciones y caídas de FPS,"['crashes que pueden corromper archivos guardados', 'bug de robo de runas por un enemigo', 'inconsistencias en el daño por caída']","Mecánicas frustrantes y desequilibradas, especialmente en PvP",No mencionado,No mencionado,"El juego tiene potencial, pero está lleno de problemas técnicos y de diseño que afectan la experiencia.",No recomendado,0
12914,Mixto,"['Gran capacidad de exploración y obtención de objetos', 'Diversidad de armas', 'Diseño de áreas bien logrado', 'Sistema de magia satisfactorio']","['Algunas armas se vuelven obsoletas en el juego tardío', 'Dificultad excesiva de algunos jefes', 'Mal diseño de ciertos combates en grupo', 'Falta de variedad en algunos tipos de magia']",Equilibrado,No mencionado,['Problemas con el tiempo de respuesta en ataques de jefes'],"Combate y mecánicas satisfactorias, aunque con algunos problemas en la escalabilidad de armas","Mundo bien diseñado con misiones y personajes interesantes, aunque a veces se siente vacío",Valor razonable para los jugadores que disfrutan de juegos difíciles,"Es un buen juego con fallos en la escalabilidad de armas y dificultad en algunos jefes, pero ofrece una experiencia de exploración y combate satisfactoria.",Recomendado,1
18609,Mixto,"['Gráficos impresionantes', 'Gran variedad de builds', 'Mecánicas de combate divertidas', 'Mundo lleno de secretos y lore', 'Interacción profunda con NPCs']","['Vaguedades en las misiones', 'Problemas de conexión en multijugador', 'Crashes y stutters ocasionales', 'Desbalance en PvP', 'Meta de builds poco atractiva']",Difícil,Problemas de estabilidad y crashes ocasionales,"['Desconexiones en multijugador', 'Crashes aleatorios', 'Stutters']",Mecánicas de juego bien diseñadas y exploración gratificante,"Profundidad en NPCs y misiones, pero con falta de claridad",No mencionado,"El juego es muy divertido y ofrece mucho contenido, pero tiene problemas de balance y conexión.",Recomendado,1
8385,Negativo,"['Gran diseño de mundo', 'Historia atractiva', 'Diseño de jefes interesante']","['Repetitividad en enemigos y jefes', 'Problemas de conexión en PvP', 'Rendimiento técnico deficiente', 'Controles de PC subóptimos']",Equilibrado,Problemas de rendimiento y congelaciones en pantallas de carga,"['Congelaciones en pantallas de carga', 'Problemas de rendimiento con shaders', 'Cursor del ratón se sale de la pantalla en configuraciones de múltiples monitores']",Mecánicas de combate divertidas pero con problemas de balance en PvP,Historia interesante pero con problemas de repetitividad en contenido,No mencionado,"Elden Ring es un juego con un gran diseño y mecánicas, pero plagado de problemas técnicos y de repetitividad.",No recomendado,0
2589,Negativo,"['vibrante mundo', 'buena utilización del suspense en la historia', 'música espectacular durante los tiroteos']","['sistema de perks aburrido', 'tramas convolutas', 'problemas técnicos', 'jugabilidad torpe', 'demasiados personajes']",No Mencionado,sufre de problemas técnicos significativos,"['nudidad parcial', 'pasar a través de paredes', 'pérdida de datos guardados', 'objetos desapareciendo']",la jugabilidad se siente inferior a otros juegos lanzados anteriormente,la historia puede ser interesante pero se ve afectada por demasiados personajes y subtramas,"no se menciona directamente, pero se sugiere esperar a parches","el juego es decepcionante y no cumple con las expectativas, a pesar de su mundo vibrante",No recomendado,0
9618,Negativo,"['Mundo vibrante', 'Uso del suspense en la historia', 'Banda sonora en tiroteos']","['Sistema de perks aburrido', 'Tramas convolutas', 'Problemas técnicos', 'Gunplay torpe', 'Pacing malo en las misiones']",No Mencionado,Problemas técnicos significativos y glitches frecuentes,"['Nudidad parcial', 'Pasar a través de paredes', 'Pérdida de datos guardados', 'Objetos desapareciendo', 'Descripciones de ítems atascadas en el HUD']",Mecánicas de juego insatisfactorias y gunplay inferior a otros títulos,Historia interesante pero con demasiados personajes y subtramas que la complican,No mencionado,"El juego es decepcionante y no cumple con las expectativas, a pesar de su mundo vibrante.",No recomendado,0
7887,Negativo,"['La ciudad se ve genial', 'La música es excelente', 'Los personajes son interesantes']","['Problemas fundamentales no resueltos', 'Mala narrativa y ritmo', 'Mecánicas aburridas', 'Sistema de botín deficiente', 'Economía del juego desequilibrada']",No Mencionado,No mencionado,['No mencionado'],"No es divertida, mecánicas aburridas y poco intuitivas","La historia tiene problemas de ritmo y desarrollo de personajes, aunque algunos finales son interesantes","Relación calidad-precio deficiente, economía del juego desequilibrada","A pesar de algunos elementos buenos, el juego tiene problemas fundamentales que lo hacen poco recomendable.",No recomendado,0
634,Negativo,"['La ciudad se ve genial', 'La música es excelente', 'Los personajes son interesantes']","['Problemas fundamentales no resueltos', 'Mala narrativa y ritmo', 'Mecánicas de juego aburridas', 'Sistema de botín deficiente', 'Economía del juego desequilibrada']",No Mencionado,No mencionado,['No mencionado'],"No es divertida, mecánicas aburridas y poco intuitivas","La historia tiene problemas de ritmo y desarrollo de personajes, pero algunos finales son interesantes","Economía del juego desequilibrada, no justifica el costo","A pesar de algunos elementos buenos, el juego es aburrido y tiene problemas fundamentales que no se han solucionado.",No recomendado,0
11799,Mixto,"['El mundo es fantástico con una arquitectura distópica sobresaliente.', 'La construcción del mundo es impresionante con vida en la ciudad.', 'Los personajes son sólidos, especialmente Jackie y Judy.', 'Los elementos RPG están presentes y permiten nuevas opciones de diálogo.']","['Bugs que pueden ser graves.', 'El sistema de policía y crimen es deficiente.', 'La conducción es mala y poco realista.', 'El combate se siente torpe y los disparos son débiles.', 'Los elementos RPG se sienten irrelevantes.', 'Pocas misiones secundarias orientadas a la historia.', 'La sensación de urgencia limita la exploración.', 'El final del juego es decepcionante y no ofrece un verdadero cierre.']",No Mencionado,Hay bugs y problemas técnicos que afectan la experiencia.,"['Bugs simples y algunos que son game-breaking.', 'La policía no persigue adecuadamente al jugador.', 'Colisiones en la conducción son problemáticas.']","Las mecánicas de combate y conducción son deficientes, lo que afecta la experiencia general.",La historia es interesante pero el final es insatisfactorio y no ofrece libertad al jugador.,No mencionado,"Cyberpunk 2077 es un buen juego si se busca una experiencia centrada en la historia, pero decepcionante como RPG tradicional.",Recomendado,1
1197,Negativo,"['64bit hace que el juego sea más estable', 'Mejora en la distancia de dibujado', 'La oclusión de lluvia mejora la inmersión', 'Alt-tab funciona correctamente', 'Mejoras en la cantidad de flora']","['Texturas pixeladas y de baja calidad', 'Compatibilidad de mods no como se prometió', 'No se han solucionado los bugs conocidos', 'No se lanzó el Creation Kit junto con el juego', 'Audio comprimido de mala calidad']",No Mencionado,"No se puede comentar sobre el rendimiento, pero se menciona que el juego original corre a 60fps sin mods.","['Bugs no solucionados de la edición especial', 'Incompatibilidad con ciertos mods']",No mencionada,No mencionada,"Se percibe como un movimiento codicioso por parte de Bethesda, no se justifica el precio.",La edición especial de Skyrim es decepcionante y parece un intento de Bethesda de obtener más dinero sin ofrecer mejoras significativas.,No recomendado,0
7237,Negativo,"['64bit hace que el juego sea más estable', 'Mejora en la distancia de dibujado', 'La oclusión de lluvia mejora la inmersión', 'Alt-tab funciona correctamente', 'Mejoras en la cantidad de flora']","['Texturas pixeladas y de baja calidad', 'Compatibilidad de mods no como se prometió', 'No se han solucionado los bugs existentes', 'Lanzamiento sin Creation Kit', 'Audio comprimido de mala calidad']",No Mencionado,"No se puede comentar sobre el rendimiento, pero se menciona que el juego original corre a 60fps","['Bugs no solucionados de la edición especial', 'Incompatibilidad con ciertos mods']",No mencionado,No mencionado,Se percibe como un movimiento codicioso por parte de Bethesda,La versión remasterizada de Skyrim decepciona por su falta de mejoras significativas y la percepción de codicia por parte de Bethesda.,No recomendado,0
9685,Negativo,"['Ciudad vasta y diversa', 'Gráficamente impresionante']","['Historia poco impactante', 'Mecánicas de juego genéricas', 'Sistema de sigilo deficiente', 'Combate poco satisfactorio', 'Música olvidable']",Equilibrado,No mencionado,"['Glitches', 'Falta de pulido']",Mecánicas de juego mundanas y genéricas,Historia y personajes poco memorables,No mencionado,Cyberpunk 2077 es un juego que decepciona por su falta de originalidad y profundidad.,No recomendado,0
4351,Negativo,"['Mundo inmersivo', 'Personajes bien desarrollados', 'Gráficos detallados', 'Banda sonora bien hecha']","['Bugs y glitches', 'Profundidad del mapa limitada', 'Misiones poco relevantes', 'Controles de conducción deficientes']",No Mencionado,Funcionó sin problemas en configuraciones altas,"['T-poses de personajes', 'Personajes desapareciendo', 'Vehículos comportándose erráticamente']","Mecánicas de juego aceptables, pero con problemas en la conducción","Historia inicial pulida, pero se siente recortada y las misiones de vida son irrelevantes",Se recomienda esperar a una oferta antes de comprar,"El juego tiene potencial, pero necesita mejoras significativas antes de ser recomendado a precio completo.",No recomendado,0
12860,Positivo,"['Mundo masivo y detallado', 'Excelente creación de personajes', 'Gráficos impresionantes', 'Música y sonido de alta calidad', 'Mecánica de crafting bien implementada', 'Multijugador con buenas ideas']","['Problemas de optimización en algunas áreas', 'Controles y UI pueden ser confusos para nuevos jugadores', 'Límite de 4 jugadores en multijugador', 'Problemas de conexión en multijugador', 'Desbalance en algunas mecánicas de PvP']",Equilibrado,"Optimización buena en máquinas más antiguas, pero con algunos problemas menores.","['Desconexiones en multijugador', 'Problemas de secuenciación en invocaciones']",Mecánicas de juego inmersivas y exploración satisfactoria.,"Contenido rico en exploración y descubrimiento, aunque no se menciona la historia en detalle.",Valor justo considerando la cantidad de contenido y la experiencia.,El juego es casi perfecto y ofrece una experiencia de juego única y llena de descubrimientos.,Recomendado,1
3982,Negativo,"['Polished game and smooth experience', 'Strong RPG elements', 'Incredible character customization']","['Many promised features missing', 'NPC behavior issues', 'Police AI problems', 'Lack of meaningful interactions']",No Mencionado,No mencionado,"['NPCs do not respond to player actions', 'Police spawn issues', 'NPCs repeat dialog indefinitely']",No mencionado,No mencionado,No mencionado,El juego no cumple con las expectativas debido a la falta de características prometidas y problemas de IA.,No recomendado,0
10379,Mixto,"['Historia interesante', 'Personajes bien desarrollados', 'Mundo detallado', 'Diversión en la jugabilidad']","['Bugs persistentes', 'Dificultad baja', 'Problemas con la conducción']",Fácil,"Bugs presentes, pero no afectan gravemente la experiencia","['Bugs visuales', 'Problemas de colisión']","Divertida, aunque fácil y con mecánicas simples","Historia buena, pero el enfoque en la acción puede ser frustrante",Recomendado comprar en oferta,Cyberpunk 2077 es un buen juego a pesar de sus imperfecciones.,Recomendado,1
11868,Mixto,"['Historia interesante', 'Personajes bien desarrollados', 'Mundo detallado', 'Diversión en el combate']","['Bugs persistentes', 'Dificultad inconsistente', 'Problemas de conducción', 'Crafting limitado']",Equilibrado,"Aún presenta bugs, pero menos que en el lanzamiento","['Personajes flotando', 'Armas pegadas a personajes']","Combate fácil pero divertido, mecánicas accesibles","Historia buena, pero requiere completar misiones secundarias para disfrutarla plenamente","Recomendado comprar en oferta, 48 o menos","Cyberpunk 2077 es un buen juego a pesar de sus imperfecciones, vale la pena jugarlo.",Recomendado,1
5750,Negativo,"['Gráficos impresionantes', 'Ambiente visual atractivo']","['Muchos bugs', 'Falta de personalización', 'Historia poco atractiva', 'Mecánicas de sigilo aburridas']",No Mencionado,Sin problemas de rendimiento significativos,"['Bugs en audio', 'Problemas con la mecánica de sigilo', 'Vehículos poco realistas']",Mecánicas limitadas y repetitivas,Historia poco atractiva y personajes no interesantes,No recomendado por la falta de contenido y características prometidas,"El juego tiene muchos bugs y carece de las características prometidas, lo que lo hace no recomendable en su estado actual.",No recomendado,0
16425,Mixto,"['Gran historia con múltiples opciones', 'Decisiones impactantes', 'Visuales hermosos y atmosféricos', 'Banda sonora increíble', 'Buena actuación de voz', 'Rejugabilidad ilimitada']","['Muchos bugs', 'Mal rendimiento en computadoras de gama baja', 'Mecánicas subutilizadas', 'Tareas de NCPD tediosas']",Equilibrado,"Mal rendimiento en hardware más antiguo, pero se espera que se solucione pronto.","['Bugs que afectan la inmersión', 'Problemas de juego aleatorios que requieren recargar partidas']","Controles buenos y bien pensados, combate divertido una vez que se mejora.",Historia impresionante con decisiones que afectan la narrativa y el desarrollo de personajes.,"Recomendado a precio completo, aunque puede haber problemas en hardware antiguo.","Cyberpunk 2077 es un RPG impresionante con una historia cautivadora, a pesar de sus problemas técnicos.",Recomendado,1
7049,Negativo,"['Gráficos impresionantes', 'Gran atmósfera de Night City', 'Interacción realista con personajes principales']","['Juego lleno de bugs', 'IA de NPCs deficiente', 'Personalización limitada del personaje', 'Mala conducción de vehículos']",No Mencionado,"Rendimiento aceptable en hardware adecuado, pero con problemas de optimización","['Cigarrillos flotando en la cara de personajes', 'NPCs atravesando objetos', 'Policía apareciendo detrás del jugador', 'Objetos gráficos incorrectos']","Mecánicas de combate y conducción insatisfactorias, aunque algunas armas son satisfactorias",Historia interesante y atractiva hasta el momento,"No recomendado en su estado actual, debería esperar a futuras actualizaciones",El juego no está listo y debería haber sido pospuesto para solucionar problemas significativos.,No recomendado,0
4106,Mixto,"['Gráficos de Night City', 'Narrativa sólida', 'Banda sonora impresionante']","['Falta de personalización', 'IA y NPCs deficientes', 'Problemas de rendimiento', 'Bugs constantes']",No Mencionado,"Rendimiento variable, con caídas de FPS en áreas urbanas.","['Glitches visuales', 'Misiones atascadas', 'Audio repetido']","Mecánicas de combate variadas pero frustrantes, experiencia de juego desigual.","Acto 1 decepcionante, personajes bien desarrollados pero finales insatisfactorios.",No mencionado,Cyberpunk 2077 es una experiencia decepcionante que necesita más tiempo de desarrollo.,No recomendado,0
17487,Mixto,"['Historia principal', 'Personajes bien desarrollados', 'Música impresionante', 'Diversión en misiones secundarias']","['IA de NPCs deficiente', 'Falta de actividades en el mundo', 'Problemas con la personalización de personajes', 'Sistema de policía malo', 'Bugs y glitches']",No Mencionado,"Lleno de bugs y glitches, pero sin bugs que rompan el juego.","['NPCs apareciendo de la nada', 'Coches volando', 'Glitches de clipping', 'Bugs relacionados con misiones']","Promedio, con mecánicas de combate y exploración decentes.",Gran historia y personajes que conectan con el jugador.,No Mencionado,"El juego tiene una gran historia y personajes, pero está plagado de problemas técnicos que afectan la experiencia.",Recomendado,1
6439,Negativo,['Momentos visuales en Night City'],"['Historia poco interesante', 'Mecánicas de juego superficiales', 'Falta de opciones de personalización', 'Recompensas de misiones no escaladas', 'Problemas de calidad de vida']",No Mencionado,No mencionado,['No mencionado'],"Mecánicas de combate y RPG poco efectivas, falta de impacto en las decisiones del jugador",La historia pierde interés y no genera conexión con los personajes,No mencionado,"El juego tiene problemas fundamentales que afectan la experiencia general, dejando una sensación de decepción.",No recomendado,0
6978,Negativo,"['Mundo y lore interesantes', 'Historia sólida']","['Interacciones superficiales', 'IA de NPCs deficiente', 'Sistema policial ineficaz', 'Decisiones sin consecuencias', 'Diálogos limitados', 'Impacto marginal de cibernéticas', 'Sistema de misiones poco interesante', 'IA de combate básica']",Equilibrado,No mencionado,"['NPCs que desaparecen', 'Interacciones sin respuesta', 'Misiones que no se actualizan']","Combate decente pero fácil de manipular, mecánicas de juego poco satisfactorias",Historia decente pero con poca profundidad en las decisiones,No mencionado,"El juego falla como RPG, sintiéndose más como un shooter en pasillos que como una aventura de mundo abierto.",No recomendado,0
4632,Negativo,"['Variedad en ataques cuerpo a cuerpo', 'Mecánica de cenizas de guerra', 'Diseño estético del mundo', 'Exploración y diseño de niveles']","['Diseño de enemigos y jefes', 'Combos interminables de los jefes', 'Repetición de jefes', 'Falta de sentido de logro en las batallas', 'Final decepcionante']",Equilibrado,No mencionado,[],"Combate desafiante pero frustrante, mecánicas de juego explotadas",Final decepcionante y falta de conexión emocional,No mencionado,El diseño de jefes arruina la experiencia y la rejugabilidad del juego.,No recomendado,0
14951,Positivo,"['Historia y misiones bien elaboradas', 'Experiencia de vida en la ciudad', 'Combate entretenido y equilibrado', 'Variedad de armas', 'Música excepcional']","['Bugs presentes', 'Oportunidades perdidas en actividades aleatorias', 'Conducción problemática', 'Sistema policial rudimentario', 'Impacto limitado de los diferentes comienzos']",Equilibrado,"Optimización buena en PC, con algunos problemas menores","['Múltiples problemas técnicos', 'Tráfico y atascos en el juego']",Mecánicas de combate y exploración muy disfrutables,Historia bien construida y diálogos pulidos,"Buena relación calidad-precio, horas de contenido","A pesar de algunos problemas, el juego ofrece una experiencia rica y entretenida.",Recomendado,1
1569,Negativo,"['Diseño visual de criaturas', 'Algunos paisajes agradables']","['Dificultad injusta', 'Mecánicas de juego frustrantes', 'Repetición de enemigos', 'Escritura deficiente', 'Falta de un registro de misiones', 'Distribución desequilibrada de objetos']",Difícil,No mencionado,"['Problemas de ubicación de NPCs', 'Requerimiento de objetos consumibles para cooperativo']","Frustrante, requiere consultar guías externas, mecánicas de combate limitadas","Escritura deficiente, misiones poco memorables, falta de desarrollo de personajes",No mencionado,"El juego es frustrante y carece de disfrute real, con una dificultad que se siente injusta.",No recomendado,0
